text,label
"Your account has been hacked click here","phishing"
"Win money instantly","phishing"
"Claim free recharge now","phishing"
"Verify your bank account immediately","phishing"
"Urgent login required","phishing"
"Click here to claim lottery","phishing"
"Update your password now","phishing"
"Suspicious activity detected login now","phishing"
"You won a free vacation","phishing"
"Get cash reward instantly","phishing"
"Meeting at 10 AM tomorrow","safe"
"Project presentation attached","safe"
"Lets have dinner tonight","safe"
"Team meeting postponed","safe"
"Your package has been delivered","safe"
"Monthly salary credited","safe"
"Happy birthday have a great day","safe"
"College classes start Monday","safe"
"Assignment submission deadline extended","safe"
"See you at the event tomorrow","safe"
